Designator,Mid X,Mid Y,Layer,Rotation
C1,33.000000,-15.000000,top,0
C2,33.000000,-17.800000,top,0
C3,38.200000,-12.125000,top,-90
C4,31.900000,-12.125000,top,90
C5,10.500000,-6.600000,top,90
D1,15.300000,-10.525000,top,0
D2,15.300000,-21.025000,top,0
D3,15.300000,-18.825000,top,0
D4,15.300000,-12.825000,top,0
P1,25.000000,-4.000000,top,0
P2,44.400000,-16.000000,top,-90
P3,25.000000,-28.000000,top,180
P4,4.700000,-16.000000,top,-90
P5,39.125000,-3.025000,top,-90
R1,11.000000,-16.700000,top,180
R2,11.000000,-14.800000,top,180
R3,11.000000,-11.625000,top,0
R5,14.500000,-14.800000,top,180
R6,14.500000,-16.700000,top,180
R7,33.200000,-8.300000,top,180
U1,25.600000,-16.000000,top,180
X1,35.075000,-12.125000,top,0
